4957	5	4957	14	0
6427	5	6427	14	0
9936	5	5965	14	0
9936	5	2350	14	0
6671	21	16344	14	0
15953	19	15953	14	0
6671	21	15905	14	0
6671	21	6153	14	0
6671	21	16205	14	0
6671	21	16344	14	0
6671	21	18707	14	0
4746	7	6671	14	0
9262	7	6671	14	0
13081	19	13081	14	0
13081	19	13081	14	0
13081	19	13081	14	0
13081	19	13081	14	0
13081	19	13081	14	0
13081	19	13081	14	0
8994	7	8994	14	0
8994	7	9262	14	0
19570	5	19570	14	0
7578	15	7578	14	0
19266	15	19266	14	0
13081	15	9487	14	0
13081	15	9487	14	0
13081	15	7578	14	0
13081	15	7724	14	0
7492	23	14287	14	0
6935	21	17445	14	0
16344	5	14789	14	0
17260	18	16737	14	0
1551	18	1551	14	0
2442	18	13335	14	0
16344	5	14789	14	0
6368	18	16737	14	0
16344	5	14789	14	0
13335	7	16344	14	0
4610	5	8193	14	0
9442	5	9442	14	0
4610	5	4610	14	0
8193	5	4610	14	0
2261	5	9442	14	0
7976	5	1137	14	0
7290	5	7976	14	0
4866	5	7290	14	0
17644	5	7290	14	0
17090	5	17644	14	0
7089	7	2232	14	0
7340	23	7552	14	0
1953	5	7089	14	0
7202	5	7202	14	0
7340	5	7552	14	0
8638	5	1623	15	0
8638	5	1623	15	0
8638	5	1623	15	0
8588	0	1623	15	0
8588	0	1623	15	0
1214	18	1214	15	0
9095	18	1214	15	0
1214	15	15742	15	0
1214	15	15363	15	0
1214	15	15742	15	0
1214	15	15363	15	0
1214	2	5278	15	0
1214	2	19694	15	0
1214	15	8491	15	0
1214	15	11918	15	0
1214	15	15363	15	0
1214	15	15363	15	0
1214	18	5278	15	0
1214	9	1214	15	0
1214	13	2940	15	0
1214	13	9824	15	0
1214	9	15363	15	0
1214	9	15742	15	0
1214	9	15363	15	0
1214	9	15742	15	0
8294	18	1214	15	0
18698	18	1214	15	0
8294	18	1214	15	0
1214	18	1214	15	0
18698	18	1214	15	0
8294	18	1214	15	0
9095	18	1214	15	0
12745	18	1214	15	0
8294	18	1214	15	0
1214	18	1214	15	0
1214	17	3076	15	0
1214	17	3076	15	0
8294	18	12745	15	0
12745	17	9668	15	0
1214	2	19694	15	0
9095	18	1214	15	0
1214	17	3533	15	0
1214	18	1214	15	0
1214	2	19694	15	0
19694	17	14155	15	0
1214	18	5278	15	0
1214	18	17538	15	0
1214	22	9857	15	0
1214	15	9857	15	0
12592	15	3927	15	0
12592	15	3927	15	0
12592	5	13133	15	0
12592	15	3927	15	0
1137	12	3927	15	0
1895	12	3927	15	0
12592	5	14155	15	0
167	18	167	15	0
12592	17	11586	15	0
15759	7	11586	15	0
7409	7	11586	15	0
15759	7	11586	15	0
7409	7	11586	15	0
1214	22	9857	15	0
9095	18	1214	15	0
1214	2	19694	15	0
107	5	8973	15	0
13335	18	4855	15	0
13335	7	3531	15	0
13335	23	8973	15	0
15759	15	4507	15	0
10012	15	965	15	0
12592	15	19005	15	0
17798	15	9570	15	0
15565	15	9570	15	0
12592	5	19005	15	0
107	7	13335	15	0
8973	18	13335	15	0
9151	18	13335	15	0
1579	18	13335	15	0
12825	7	13335	15	0
13335	18	10364	15	0
13335	18	10364	15	0
4855	7	13335	15	0
12825	5	13335	15	0
1579	5	12825	15	0
13335	18	4855	15	0
8973	18	13335	15	0
107	5	13335	15	0
107	23	13335	15	0
8973	7	13335	15	0
107	18	13335	15	0
8973	18	13335	15	0
13335	17	10829	15	0
13335	23	8973	15	0
1244	18	13335	15	0
8973	18	13335	15	0
12825	18	1829	15	0
107	18	13335	15	0
8973	18	1829	15	0
1244	18	1829	15	0
5918	18	1829	15	0
13335	23	11989	15	0
16492	7	16492	15	0
16492	18	13335	15	0
13335	18	10913	15	0
4859	5	12592	15	0
8295	18	12592	15	0
10913	5	10913	15	0
1719	18	13335	15	0
16492	7	13335	15	0
1719	7	13335	15	0
16492	7	10913	15	0
4859	5	12592	15	0
12592	22	9046	15	0
4859	5	9360	15	0
4859	5	15759	15	0
4859	5	12592	15	0
4859	7	641	15	0
4859	5	15759	15	0
15759	7	641	15	0
15759	21	4859	15	0
4859	7	12592	15	0
12592	22	4859	15	0
12592	15	3927	15	0
4859	7	12592	15	0
8295	5	4859	15	0
8295	5	4859	15	0
12592	5	4859	15	0
8295	7	4859	15	0
12592	22	16344	15	0
12592	7	4859	15	0
8295	18	12592	15	0
1214	18	1214	15	0
9095	18	1214	15	0
1214	15	15742	15	0
1214	15	15363	15	0
1214	15	15363	15	0
1214	15	15742	15	0
1214	9	15363	15	0
1214	9	15742	15	0
1214	9	15742	15	0
1214	9	15363	15	0
1214	18	1214	15	0
1214	2	19694	15	0
8294	18	1214	15	0
1214	18	1214	15	0
